	seq_id	start	end	Name	gene	Alias	Note	Ontology_term	strand	phase	curie	orf_classification	display	Chromosome
21695	chrXIV	18001	19302	YNL330C	RPD3	"RPD3,MOF6,REC3,SDI2,SDS6,histone%20deacetylase%20RPD3"	Histone deacetylase%2C component of both the Rpd3S and Rpd3L complexes%3B regulates transcription%2C silencing%2C autophagy and other processes by influencing chromatin remodeling%3B forms at least two different complexes which have distinct functions and members%3B Rpd3%28L%29 recruitment to the subtelomeric region is regulated by interaction with the arginine methyltransferase%2C Hmt1p	"GO:0000083,GO:0000083,GO:0000117,GO:0000118,GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0003713,GO:0003713,GO:0003714,GO:0003714,GO:0004407,GO:0004407,GO:0004407,GO:0004407,GO:0004407,GO:0006368,GO:0016239,GO:0016479,GO:0016479,GO:0030174,GO:0030174,GO:0030174,GO:0030174,GO:0031939,GO:0031939,GO:0031939,GO:0031939,GO:0032221,GO:0032221,GO:0033698,GO:0033698,GO:0033698,GO:0033698,GO:0034399,GO:0034503,GO:0044804,GO:0045128,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0045944,GO:0051038,GO:0061186,GO:0061186,GO:0061186,GO:0061188,GO:0061188,GO:0061188,GO:0061587,GO:0070210,GO:0070211,GO:0070550,GO:0070822,GO:0070932,GO:0070933,GO:0070933,SO:0000704"	-	.	SGD:S000005274	Verified	Histone deacetylase%2C component of both the Rpd3S and Rpd3L complexes	14
21699	chrXIV	19541	22633	YNL329C	PEX6	"PEX6,AAA%20family%20ATPase%20peroxin%206,PAS8"	AAA-peroxin%3B heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol%3B mutations in human PEX6 can lead to severe peroxisomal disorders and early death	"GO:0005777,GO:0005777,GO:0005829,GO:0016562,GO:0016562,GO:0016562,GO:0016887,GO:0043335,SO:0000704"	-	.	SGD:S000005273	Verified	AAA-peroxin	14
21702	chrXIV	22834	23274	YNL328C	MDJ2	MDJ2	Constituent of the mitochondrial import motor%3B associated with the presequence translocase%3B function overlaps with that of Pam18p%3B stimulates the ATPase activity of Ssc1p to drive mitochondrial import%3B contains a J domain	"GO:0001405,GO:0001671,GO:0005743,GO:0030150,GO:0030150,SO:0000704"	-	.	SGD:S000005272	Verified	Constituent of the mitochondrial import motor	14
21706	chrXIV	24048	27173	YNL327W	EGT2	EGT2	Glycosylphosphatidylinositol %28GPI%29-anchored cell wall endoglucanase%3B localizes in birth scars%3B required for proper cell separation after cytokinesis%3B expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner	"GO:0000324,GO:0000920,GO:0005621,GO:0005933,GO:0008810,GO:0009277,GO:0030428,SO:0000704"	+	.	SGD:S000005271	Verified	Glycosylphosphatidylinositol %28GPI%29-anchored cell wall endoglucanase	14
21710	chrXIV	27337	28347	YNL326C	PFA3	"PFA3,palmitoyltransferase%20PFA3"	Palmitoyltransferase for Vac8p%3B required for vacuolar membrane fusion%3B contains an Asp-His-His-Cys-cysteine rich %28DHHC-CRD%29 domain%3B autoacylates%3B required for vacuolar integrity under stress conditions	"GO:0000324,GO:0000324,GO:0000324,GO:0000324,GO:0000329,GO:0016409,GO:0016409,GO:0018345,GO:0042144,GO:0042144,SO:0000704"	-	.	SGD:S000005270	Verified	Palmitoyltransferase for Vac8p	14
21717	chrXIV	28739	31378	YNL325C	FIG4	"FIG4,phosphatidylinositol-3%2C5-bisphosphate%205-phosphatase"	Phosphatidylinositol 3%2C5-bisphosphate %28PtdIns[3%2C5]P%29 phosphatase%3B required for efficient mating and response to osmotic shock%3B physically associates with and regulated by Vac14p%3B contains a SAC1-like domain%3B homologous to human FIG4%2C which is associated with CMT4J%2C a form of Charcot-Marie-Tooth disorder	"GO:0000329,GO:0019898,GO:0034399,GO:0043813,GO:0046856,GO:0046856,GO:0070772,GO:0070772,SO:0000704"	-	.	SGD:S000005269	Verified	Phosphatidylinositol 3%2C5-bisphosphate %28PtdIns[3%2C5]P%29 phosphatase	14
21724	chrXIV	31944	33188	YNL323W	LEM3	"LEM3,BRE3,ROS3"	Membrane protein of the plasma membrane and ER%3B interacts specifically in vivo with the phospholipid translocase %28flippase%29 Dnf1p%3B involved in translocation of phospholipids and alkylphosphocholine drugs across the plasma membrane%3B null mutant requires tryptophan due to mislocalization of tryptophan permease Tat2p	"GO:0005737,GO:0005783,GO:0005783,GO:0005886,GO:0007166,GO:0015247,GO:0044088,GO:0045332,GO:0140345,GO:1990531,SO:0000704"	+	.	SGD:S000005267	Verified	Membrane protein of the plasma membrane and ER	14
25309	chrXV	795801	796793	YOR246C	ENV9	ENV9	Conserved oxidoreductase involved in lipid droplet morphology%3B mutant shows defects in CPY processing and vacuolar morphology%3B required for replication of Brome mosaic virus in S. cerevisiae%2C a model system for studying replication of positive-strand RNA viruses in their natural hosts%3B homologus to human RDH12 linked to Leber Congenital Amaurosis	"GO:0005739,GO:0005811,GO:0005811,GO:0006624,GO:0007033,GO:0016491,GO:0034389,SO:0000704"	-	.	SGD:S000005772	Verified	Conserved oxidoreductase involved in lipid droplet morphology	15
25313	chrXV	797676	798308	YOR247W	SRL1	SRL1	Mannoprotein that exhibits a tight association with the cell wall%3B required for cell wall stability in the absence of GPI-anchored mannoproteins%3B has a high serine-threonine content%3B expression is induced in cell wall mutants%3B SRL1 has a paralog%2C SVS1%2C that arose from the whole genome duplication	"GO:0000324,GO:0003674,GO:0005737,GO:0005934,GO:0006139,GO:0009277,GO:0031505,GO:0071944,SO:0000704"	+	.	SGD:S000005773	Verified	Mannoprotein that exhibits a tight association with the cell wall	15
25343	chrXV	807271	808107	YOR255W	OSW1	OSW1	Protein involved in sporulation%3B required for the construction of the outer spore wall layers%3B required for proper localization of Spo14p	"GO:0003674,GO:0005628,GO:0030437,GO:0030476,SO:0000704"	+	.	SGD:S000005781	Verified	Protein involved in sporulation	15
28299	chrMito	61022	61729	Q0160	SCEI	"SCEI,I-SceIV,OMEGA,intron-encoded%20endonuclease%20I-SceI"	I-SceI DNA endonuclease%3B encoded by the mitochondrial group I intron of the 21S_rRNA gene%3B mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene	"GO:0004519,GO:0004519,GO:0005739,GO:0006314,SO:0000704"	+	.	SGD:S000007279	Verified	I-SceI DNA endonuclease	mitoch
