seq_id_x	start_x	end_x	Alias	ID_x	coverage	display	extra_copy_number_x	gene	low_identity	orf_classification	sequence_ID	valid_ORFs	start_y	end_y	ID_y	extra_copy_number_y	missing_stop_codon	valid_ORFs in Y22 annot.	transcript_id	Note	gene																																																																																																		
chrXI_tig00004932	149916	151217	"KDX1,MLP1,putative%20protein%20kinase%20KDX1"	YKL161C	1.0	Protein%20kinase	0	KDX1		Verified	0.996	0	149916	151217	YKL161C_id001	0	True	1	SGD:S000290521	non-essential	KDX1																																																																																																		
chrXII-2_tig00004934	29425	29885	AQY2	YLL052C	1.0	Water%20channel%20that%20mediates%20water%20transport%20across%20cell%20membranes	0	AQY2		Verified	0.969	0	29425	29885	YLL052C_mRNA	0	True	1	RefSeq:NM_001181872.1	"non-essential, disrupted by a stop codon in many S. cerevisiae strains "	AQY2																																																																																																		
chrXII_tig00000020	156279	160760	"HAP1,CYP1"	YLR256W	0.989	Zinc%20finger%20transcription%20factor	0	HAP1		Verified	0.980	0	156279	160760	YLR256W_mRNA	0	True	1	RefSeq:NM_001182143.1	s288c seq is different	HAP1																																																																																																		
chrXIII-2_tig00000029	27044	28562	"NGL3,3'-5'%20poly%28A%29%20RNA%20exonuclease"	YML118W	1.0	3'-5'%20exonuclease%20specific%20for%20poly-A%20RNAs	0	NGL3		Verified	0.994	0	27044	28562	YML118W_id002	0	True	1	SGD:S000291178	"non-essential, has paralog"	NGL3																																																																																																		
chrXIV_tig00004929	431635	433118	"SAL1,Ca%282+%29-binding%20ATP:ADP%20antiporter%20SAL1"	YNL083W	0.999	ADP/ATP%20transporter	0	SAL1		Verified	0.995	0	431635	433118	YNL083W_id001	0	True	1	SGD:S000291553	 polymorphic in different S. cerevisiae strains	SAL1																																																																																																		
chrXIV_tig00004929	708231	709700	"BSC5,BUL3"	YNR069C	1.0	Protein%20of%20unknown%20function	0	BSC5		Verified	0.992	0	708231	709700	YNR069C_mRNA	0	True	1	RefSeq:NM_001183246.3	non-essential	BSC5																																																																																																		
chrXIV_tig00004929	712484	716485	"PDR18,ATP-binding%20cassette%20multidrug%20transporter%20PDR18"	YNR070W	1.0	Putative%20transporter%20of%20the%20ATP-binding%20cassette%20%28ABC%29%20family	0	PDR18		Verified	0.996	0	712484	716485	YNR070W_mRNA	0	True	1	RefSeq:NM_001183247.4	non-essential but drug resistance	PDR18																																																																																																		
chrIV_tig00000001	1188609	1191136	"EFT1,elongation%20factor%202"	YOR133W	0.999	Elongation%20factor%202%20%28EF-2%29%2C%20also%20encoded%20by%20EFT2	0	EFT1		Verified	0.998	0	1188609	1191136	YOR133W_id001	0	True	1	SGD:S000292071	non-essential	EFT1																																																																																																		
chrXVI-2_tig00000040	67907	69064	BBP1	YPL255W	1.0	Protein%20required%20for%20the%20spindle%20pole%20body%20%28SPB%29%20duplication	0	BBP1		Verified	0.997	0	67907	69064	YPL255W_id001	0	True	1	SGD:S000292514	ESSENTIAL	BBP1																																																																																																		
chrXVI_tig00000013	358768	359801	AIM45	YPR004C	0.999	Putative%20ortholog%20of%20mammalian%20ETF-alpha	0	AIM45		Verified	0.996	0	358768	359801	YPR004C_id003	0	True	1	SGD:S000292538	non-essential	AIM45																																																																																																		
chrXVI_tig00000013	519670	519970		YPR096C	0.993	Protein%20of%20unknown%20function	0			Verified	0.983	0	519670	519970	YPR096C_mRNA	0	True	1	RefSeq:NM_001184193.1	non-essential																																																																																																			
chrMito_tig00000037	74222	74390	"AI2,intron-encoded%20reverse%20transcriptase%20aI2"	Q0055	0.065	Reverse%20transcriptase%20required%20for%20splicing%20of%20the%20COX1%20pre-mRNA	0	AI2	True	Verified	0.065	0	74222	74390	Q0055_mRNA	0	True		RefSeq:NC_001224.1		AI2	introns? maybe liftoff not able to deal with introns?																																																																																																	
chrMito_tig00000037	74222	75530	"AI3,I-SceIII,intron-encoded%20DNA%20endonuclease%20aI3"	Q0060	0.958	Endonuclease%20I-SceIII	0	AI3		Verified	0.821	0	74222	75530	Q0060_mRNA	0	True		RefSeq:NC_001224.1		AI3	introns? maybe liftoff not able to deal with introns?																																																																																																	
chrMito_tig00000037	74222	77306	"AI4,I-SceII,intron-encoded%20DNA%20endonuclease%20aI4"	Q0065	0.791	Endonuclease%20I-SceII	0	AI4		Verified	0.672	0	74222	77306	Q0065_mRNA	0	True		RefSeq:NC_001224.1		AI4	introns? maybe liftoff not able to deal with introns?																																																																																																	
chrMito_tig00000037	74222	79739	"AI5_ALPHA,intron-encoded%20DNA%20endonuclease%20aI5%20alpha"	Q0070	0.952	Endonuclease%20I-SceIV	0	AI5_ALPHA		Verified	0.754	0	74222	79739	Q0070_mRNA	0	True		RefSeq:NC_001224.1		AI5_ALPHA	introns? maybe liftoff not able to deal with introns?																																																																																																	
chrI_tig00000033	17883	24566	"FLO9,flocculin%20FLO9"	YAL063C	0.998	Lectin-like%20protein%20with%20similarity%20to%20Flo1p	0	FLO9		Verified	0.544	0	17883	24566	YAL063C_mRNA	0	True		RefSeq:NM_001178205.1	non-essential	FLO9																																																																																																		
chrI_tig00000033	219398	219681		YAL064W	0.996	Protein%20of%20unknown%20function	0			Verified	0.950	0	219398	219681	YAL064W_mRNA	0	True		RefSeq:NM_001178206.2	non-essential																																																																																																			
chrVII_tig00004928	142064	142754	"UIP3,DUP240%20family%20protein%20UIP3"	YAR027W	0.865	Putative%20integral%20membrane%20protein%20of%20unknown%20function	0	UIP3		Verified	0.601	0	142064	142754	YAR027W_id003	0	True		SGD:S000287752	non-essential	UIP3																																																																																																		
chrI_tig00000033	191477	192378	"PRM9,pheromone-regulated%20DUP240%20family%20protein%20PRM9"	YAR031W	0.981	Pheromone-regulated%20protein	0	PRM9		Verified	0.867	0	191477	192378	YAR031W_mRNA	0	True		RefSeq:NM_001178224.1	non-essential	PRM9																																																																																																		
chrV_tig00000015	3147	6415		YBL111C	0.977	Helicase-like%20protein%20encoded%20within%20the%20telomeric%20Y'%20element	0			Verified	0.957	0	3147	6415	YBL111C_mRNA	0	True		RefSeq:NM_001180052.1	has an intron																																																																																																			
chrII_tig00000010	365200	368077	"RDH54,DNA-dependent%20ATPase%20RDH54,TID1"	YBR073W	1.0	DNA-dependent%20ATPase	0	RDH54		Verified	0.997	0	365200	368077	YBR073W_mRNA	0	True		RefSeq:NM_001178421.4	potentially important	RDH54																																																																																																		
chrIII_tig00004936	12870	13501	"MATALPHA2,ALPHA2,homeodomain%20mating%20type%20protein%20alpha2"	YCR039C	0.998	Homeobox-domain%20protein	0	MATALPHA2		Verified	0.998	0	12870	13501	YCR039C_mRNA	0	True		RefSeq:NM_001178753.1		MATALPHA2																																																																																																		
chrXV_tig00000007	691	2753	RDS1	YCR106W	0.734	Putative%20zinc%20cluster%20transcription%20factor	0	RDS1		Verified	0.532	0	691	2753	YCR106W_id001	0	True		SGD:S000288233	non-essential	RDS1																																																																																																		
chrIV_tig00000001	6148	7978	"MPH2,alpha-glucoside%20permease"	YDL247W	1.0	Alpha-glucoside%20permease	0	MPH2		Verified	0.997	0	6148	7978	YDL247W_mRNA	0	True		RefSeq:NM_001180307.1	"in subtelomere, gap?"	MPH2																																																																																																		
chrIV_tig00000001	1473585	1474123	IRC4	YDR540C	0.998	Protein%20similar%20to%20bacterial%20secreted%20DfsB%20proteins	0	IRC4		Verified	0.996	0	1473585	1474123	YDR540C_id002	0	True		SGD:S000288892	"non-essential, mitotic recombination"	IRC4																																																																																																		
chrV_tig00000015	22377	24070	"HXT13,HLT1,hexose%20transporter%20HXT13"	YEL069C	0.999	Putative%20transmembrane%20polyol%20transporter	0	HXT13		Verified	0.989	0	22377	24070	YEL069C_mRNA	0	True		RefSeq:NM_001178884.1	non-essential	HXT13																																																																																																		
chrX_tig00001098	718565	719724	COS4	YFL062W	1.0	Endosomal%20protein%20involved%20in%20turnover%20of%20plasma%20membrane%20proteins	0	COS4		Verified	0.948	0	718565	719724	YFL062W_id001	0	True		SGD:S000289174	"subtelomeric, important"	COS4																																																																																																		
chrVI-2_tig00004937	1950	2968	"IRC7,cysteine-S-conjugate%20beta-lyase%20IRC7"	YFR055W_1	0.995	Cysteine%20desulphydrase%2C%20enables%20growth%20on%20cysteine%20as%20nitrogen%20source	1	IRC7		Verified	0.990	0	1950	2968	YFR055W_id002_1	1	True		SGD:S000289229_1	non essential	IRC7																																																																																																		
chrIX_tig00000023	18663	21337	"CSS1,HPF1'"	YIL169C	0.883	Protein%20of%20unknown%20function%2C%20secreted%20when%20constitutively%20expressed	0	CSS1		Verified	0.840	0	18663	21337	YIL169C_id001	0	True		SGD:S000294946	unknown function	CSS1																																																																																																		
chrIX_tig00000023	7200	11842	"VTH1,signal%20sequence-binding%20protein"	YIL173W	0.998	Putative%20membrane%20glycoprotein	0	VTH1		Verified	0.978	0	7200	11842	YIL173W_mRNA	0	True		RefSeq:NM_001179519.1	non-essential	VTH1																																																																																																		
chrX_tig00001098	284084	284480	ICS3	YJL077C	1.0	Protein%20with%20a%20role%20in%20copper%20homeostasis	0	ICS3		Verified	0.984	0	284084	284480	YJL077C_mRNA	0	True		RefSeq:NM_001181510.1	"non-essential, sensitivity to cupper in null"	ICS3																																																																																																		
chrIX_tig00000023	7200	11842	"VTH2,signal%20sequence-binding%20protein"	YJL222W	0.998	Putative%20membrane%20glycoprotein	0	VTH2		Verified	0.978	0	7200	11842	YJL222W_mRNA	0	True		RefSeq:NM_001181655.1	non-essential	VTH2																																																																																																		
chrXIII-2_tig00000029	1972	3122	COS5	YJR161C	0.999	Endosomal%20protein%20involved%20in%20turnover%20of%20plasma%20membrane%20proteins	0	COS5		Verified	0.905	0	1972	3122	YJR161C_mRNA	0	True		RefSeq:NM_001181819.3	"conserved family, subtelomere"	COS5																																																																																																		
chrXI_tig00004932	548680	550598	"TRM2,NUC2,NUD1,RNC1,tRNA%20%28uracil%2854%29-C%285%29%29-methyltransferase"	YKR056W	0.999	tRNA%20methyltransferase	0	TRM2		Verified	0.992	0	548680	550598	YKR056W_mRNA	0	True		RefSeq:NM_001179846.1	tRNA metab	TRM2																																																																																																		
chrXI-2_tig00004931	16864	17780	NFT1	YKR104W_1	0.995	Putative%20transporter%20of%20the%20MRP%20subfamily	1			Verified	0.986	0	16864	17780	YKR104W_id001_1	1	True		SGD:S000290658_1	non-essential	NFT1																																																																																																		
chrXII-2_tig00004934	373216	373856	"SRN2,ESCRT-I%20subunit%20protein%20SRN2,SRN10,VPL16,VPS37"	YLR119W	0.996	Component%20of%20the%20ESCRT-I%20complex	0	SRN2		Verified	0.981	0	373216	373856	YLR119W_id001	0	True		SGD:S000290803	viable but important	SRN2																																																																																																		
chrXII_tig00000020	23188	25622	"RFX1,CRT1"	YLR176C	0.999	Major%20transcriptional%20repressor%20of%20DNA-damage-regulated%20genes	0	RFX1		Verified	0.994	0	23188	25622	YLR176C_mRNA	0	True		RefSeq:NM_001182063.1	Major transcriptional repressor of DNA-damage-regulated genes	RFX1																																																																																																		
chrX_tig00001098	718565	719724	COS3	YML132W	1.0	Endosomal%20protein%20involved%20in%20turnover%20of%20plasma%20membrane%20proteins	0	COS3		Verified	0.923	0	718565	719724	YML132W_mRNA	0	True		RefSeq:NM_001178650.1	"subtelomeric, important"	COS3																																																																																																		
chrXIII-2_tig00000029	295463	298314	STB4	YMR019W	1.0	Putative%20transcription%20factor	0	STB4		Verified	0.997	0	295463	298314	YMR019W_mRNA	0	True		RefSeq:NM_001182515.1	non-essential	STB4																																																																																																		
chrXIII_tig00000018	260555	261234	TRI1	YMR233W	0.998	Non-essential%20sumoylated%20protein%20of%20unknown%20function	0	TRI1		Verified	0.998	0	260555	261234	YMR233W_id001	0	True		SGD:S000291404	non-essential	TRI1																																																																																																		
chrXIV_tig00004929	615208	616016	"ATP23,putative%20metalloprotease"	YNR020C	0.995	Putative%20metalloprotease%20of%20the%20mitochondrial%20inner%20membrane	0	ATP23		Verified	0.981	0	615208	616016	YNR020C_mRNA	0	True		RefSeq:NM_001183197.3	" null mutation causes ""petite"" phenotype "	ATP23																																																																																																		
chrXV_tig00000007	1759	2189	"AAD15,putative%20aryl-alcohol%20dehydrogenase"	YOL165C	0.997	Putative%20aryl-alcohol%20dehydrogenase	0	AAD15		Verified	0.983	0	1759	2189	YOL165C_mRNA	0	True		RefSeq:NM_001183418.1	non-essential	AAD15																																																																																																		
chrXV_tig00000007	610407	610965	SPP2	YOR148C	1.0	Essential%20protein%20that%20promotes%20the%20first%20step%20of%20splicing	0	SPP2		Verified	0.989	0	610407	610965	YOR148C_id001	0	True		SGD:S000292083	"Essential, splicing"	SPP2																																																																																																		
chrXV_tig00000007	782073	783718	"MET7,MET23,tetrahydrofolate%20synthase"	YOR241W	0.999	Folylpolyglutamate%20synthetase	0	MET7		Verified	0.994	0	782073	783718	YOR241W_mRNA	0	True		RefSeq:NM_001183660.1	petite if null	MET7	required for methionine synthesis and for maintenance of mitochondrial DNA																																																																																																	
